mentors,mentees,regime,method,trial,latency_s,unassigned,avg_compat,same_major_pct,ilp_optimal,ilp_mip_gap,ilp_status,ilp_term,solver,time_limit,mip_gap_target,threads,warm_start,seed,hw_python,hw_platform,hw_processor,hw_machine,hw_python_implementation,hw_cpu_count
50,100,light,greedy,7,0.0027817000009235926,1,0.4561592111592112,23.232323232323232,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,gale_shapley,7,0.008618900003057206,0,0.569615945165945,49.0,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,ilp,8,0.7445929929999693,0,0.5914682539682539,62.0,True,0.0,ok,optimal,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,greedy,8,0.0029514999987441115,1,0.4945279636188727,39.39393939393939,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,gale_shapley,8,0.010054999998828862,1,0.5741734808401475,52.525252525252526,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,ilp,9,0.9516851950029377,0,0.5917222222222223,53.0,True,0.0,ok,optimal,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,greedy,9,0.006246099997952115,0,0.47402698412698413,21.0,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,gale_shapley,9,0.016509199998836266,0,0.5559769841269842,42.0,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,ilp,10,1.995889587997226,0,0.5951223665223665,63.0,True,0.0,ok,optimal,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,greedy,10,0.010429200003272854,0,0.46170476190476195,24.0,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,gale_shapley,10,0.022646899000392295,0,0.5646460317460318,47.0,,,,,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
