mentors,mentees,regime,method,trials,lat_mean_s,lat_std_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_p95_ci95_low_s,lat_p95_ci95_high_s,unassigned_mean,avg_compat_mean,same_major_pct_mean,ilp_mip_gap_mean,solver,time_limit,mip_gap_target,threads,warm_start,seed,hw_python,hw_platform,hw_processor,hw_machine,hw_python_implementation,hw_cpu_count
50,100,light,ilp,30,0.8855705589334927,0.29461673428808294,0.7744528139992326,1.163213316101974,1.4572885991994546,1.8778746688676624,1.0384320194505559,1.995889587997226,0.0,0.5896500782550782,56.833333333333336,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,greedy,30,0.004806626467203993,0.003195957611523404,0.003506249000565731,0.009760860002279515,0.011042614451798724,0.014458907709813507,0.006443604550440788,0.01564929999949527,0.13333333333333333,0.4708333801047438,27.104713804713803,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,light,gale_shapley,30,0.011420729466772172,0.005991144004477881,0.008929250001528999,0.017122969898991876,0.02451865955081302,0.030344464000227167,0.014583943349316533,0.03209849999984726,0.16666666666666666,0.5639852314371,46.410101010101016,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,medium,ilp,30,0.660292835666769,0.04036233335293343,0.6505604199992376,0.719096868500128,0.7237411878000785,0.7377873553325117,0.7142131770015112,0.7421177000032912,0.0,0.564287091982092,50.233333333333334,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,medium,greedy,30,0.0034008498336334015,0.001274354853136109,0.0030668500003230292,0.004648590000215337,0.005861619451388829,0.0074888907091735755,0.004038474449407657,0.007927399998152396,0.5666666666666667,0.4477917197191975,23.16507936507936,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,medium,gale_shapley,30,0.00796680983354842,0.00178441899718057,0.007366049501797534,0.009724729999288684,0.010564315000010536,0.013739801999217892,0.009072465901572286,0.0149740999986534,0.5,0.5357161403792006,39.68923246066104,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,heavy,ilp,30,0.5764879382998819,0.034922434914815136,0.5714816894997057,0.6137880589976703,0.6222272910992614,0.6630236433796382,0.6090725548998307,0.6783613890002016,0.0,0.5040763442113442,40.5,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,heavy,greedy,30,0.0025725533336905452,0.0005694547231297096,0.0025346000020363135,0.0034999999981664585,0.0035493849991325988,0.0038189689996943345,0.003037999998923624,0.003921600000467151,1.2333333333333334,0.40092865324028776,20.42289987326806,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
50,100,heavy,gale_shapley,30,0.005584440000166069,0.0009345411826519387,0.005364349999581464,0.006871970001157025,0.007184850001613086,0.007686350999792922,0.006476759997894987,0.007888799998909235,1.7,0.47507762971232986,28.524391116438245,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,light,ilp,30,3.000391295733425,0.4700745906459224,2.8073384710005485,3.553730024801553,3.8908477770999514,4.302237091639763,3.4526314922997696,4.407077654999739,0.0,0.6612894000444001,66.31666666666666,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,light,greedy,30,0.009185066700350337,0.002432252309198941,0.008285699999760254,0.011952629999723288,0.015026390549610361,0.016450669289188227,0.010535705000620506,0.016593899999861605,0.26666666666666666,0.5549085366294789,38.50075376884422,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,light,gale_shapley,30,0.03736984329989355,0.009025781683101234,0.034033650499623036,0.04818129009836412,0.0567672454521016,0.06443211570902349,0.04292315445090934,0.06544030099757947,0.1,0.6405567721985812,59.39589614740369,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,medium,ilp,30,2.397667033366573,0.40731299948114313,2.2133808024991595,3.0429613729982523,3.1705271176997485,3.4176375522813762,2.7720854470999248,3.514297385001555,0.0,0.6403365958115957,60.88333333333333,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,medium,greedy,30,0.008198047066131645,0.0020973987402206078,0.007600400498631643,0.009593610699084824,0.012770794100833874,0.015061422001963367,0.009032975451737,0.015527800002018921,0.36666666666666664,0.5276578868027693,31.60504373720454,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,medium,gale_shapley,30,0.028946645000056986,0.0071695145439371,0.026249450000250363,0.03890162439856795,0.04280156979930324,0.050274425580173566,0.03352729775051555,0.052688501000375254,0.7,0.6189153791535972,53.840737356817755,nan,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
100,200,heavy,ilp,30,1.9573389640331393,0.22698122578654253,1.8914700370005448,2.0456874788018466,2.161873648650362,2.813711905219826,2.0199779550300216,3.0524793399999908,0.0,0.5846861163836164,46.53333333333333,0.0,auto,120,0.01,4,True,42,3.10.12,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,x86_64,x86_64,CPython,8
